,UV,NOCT,RH_MOD
8051,0,308.44,26.85618629
8052,0,311.79375,24.92659782
8053,0,308.39,24.77059828
8054,0,308.96125,23.75447951
8055,0,303.7275,24.93467016
8056,0,300.050625,25.88266818
8057,0,295.810625,27.02002192
8058,0,293.15,29.2556935
8059,0,291.55,31.41498056
8060,0,289.85,33.99421001
8061,0,287.85,37.09128001
8062,0,285.75,40.78312016
8063,0,283.75,44.90621082
8064,0,283.95,44.23461983
8065,0,284.05,43.70294425
8066,0,284.25,43.0493486
8067,0,283.85,43.5648898
8068,0,283.55,44.15640352
8069,0,283.15,44.88934578
8070,0,283.35,44.88440148
8071,0,283.55,44.67535926
8072,0,283.915625,44.59574075
8073,0,286.44,43.31850868
8074,0,288.831875,42.13423166
8075,0,295.430625,39.09808912
8076,0,307.27125,30.85924123
8077,0,310.0025,27.0682237
8078,0,311.0775,24.47997414
8079,0,304.618125,25.99555619
8080,0,299.980625,27.0970739
8081,0,295.078125,28.3255477
8082,0,292.75,30.6907638
8083,0,291.35,33.17414886
8084,0,289.85,36.13546448
8085,0,289.25,37.32294084
8086,0,288.75,38.25395224
8087,0,288.15,39.69155132
8088,0,287.75,40.91906535
8089,0,287.45,42.06593364
8090,0,287.05,43.5649993
8091,0,285.55,46.60398777
8092,0,284.05,50.08273009
8093,0,282.55,53.8211422
8094,0,282.75,53.06730383
8095,0,282.95,52.55462954
8096,0,284.80625,51.19131666
8097,0,292.873125,41.15288576
8098,0,302.5625,33.36607831
8099,0,305.594375,29.00562265
8100,0,305.6325,28.51002701
8101,0,302.059375,29.25458892
8102,0,304.94625,27.93880925
8103,0,300.1075,29.97271016
8104,0,297.91875,31.30507818
8105,0,293.510625,33.59098144
8106,0,291.45,35.70372458
8107,0,290.35,37.41785389
8108,0,289.25,39.38710572
8109,0,288.85,40.22380942
8110,0,288.55,40.95621546
8111,0,288.15,41.63603851
8112,0,287.95,42.82263015
8113,0,287.75,43.84978128
8114,0,287.55,44.89436373
8115,0,287.15,45.84070058
8116,0,286.85,46.66788971
8117,0,286.45,47.86930645
8118,0,286.65,47.36882047
8119,0,286.85,46.66040013
8120,0,287.613125,45.91056724
8121,0,289.638125,44.16425189
8122,0,291.39875,42.51435782
8123,0,293.755,40.76056311
8124,0,296.97375,37.67012014
8125,0,296.38375,36.10892896
8126,0,298.8075,33.79401455
8127,0,295.393125,35.40612011
8128,0,292.376875,36.70595542
8129,0,291.3475,37.54124541
8130,0,290.55,38.49921826
8131,0,290.25,39.02821501
8132,0,289.85,39.86369236
8133,0,290.55,37.9885466
8134,0,291.35,36.09402585
8135,0,292.05,34.55333954
8136,0,291.35,35.91834931
8137,0,290.55,37.44255845
8138,0,289.85,38.92170516
8139,0,289.05,40.40829914
8140,0,288.35,41.82700553
8141,0,287.55,43.42456592
8142,0,287.55,43.62295015
8143,0,287.55,43.62295015
8144,0,289.33875,43.23389074
8145,0,296.4725,36.85731404
8146,0,300.6575,32.73227503
8147,0,301.56375,30.12611643
8148,0,309.95125,26.43322081
8149,0,315.854375,23.89126103
8150,0,305.095625,25.553333
8151,0,302.4825,25.55266571
8152,0,304.44,24.33945345
8153,0,300.1375,24.75786478
8154,0,297.05,26.58951327
8155,0,295.95,28.12126369
8156,0,294.85,29.87233155
8157,0,293.95,31.11071883
8158,0,292.95,32.49701567
8159,0,292.05,33.99882843
8160,0,291.35,35.47491147
8161,0,290.55,37.47140659
8162,0,289.85,39.4563092
8163,0,289.65,39.87319375
8164,0,289.45,40.29448299
8165,0,289.25,40.72022346
8166,0,289.25,41.11952254
8167,0,289.25,41.34053864
8168,0,290.24375,41.14087185
8169,0,297.04125,35.94806854
8170,0,301.9175,32.16760651
8171,0,303.448125,30.05195828
8172,0,311.468125,26.3985322
8173,0,312.53125,25.03687141
8174,0,310.978125,24.33759215
8175,0,306.336875,25.81291872
8176,0,300.205625,27.61670574
8177,0,294.33875,29.5209549
8178,0,289.75,33.90126819
8179,0,287.05,38.30085104
8180,0,284.25,43.99084957
8181,0,284.65,41.56001159
8182,0,284.95,39.9291279
8183,0,285.35,38.06819011
8184,0,284.45,39.82746839
8185,0,283.45,41.79895139
8186,0,282.55,43.93042511
8187,0,281.05,47.89032439
8188,0,279.65,52.29821836
8189,0,278.15,58.06139353
8190,0,278.15,58.39221249
8191,0,278.15,58.45785288
8192,0,279.80625,58.07932279
8193,0,288.371875,45.98706284
8194,0,296.905,37.02769277
8195,0,304.04625,30.84806506
8196,0,307.39875,28.36807604
8197,0,308.5325,26.75249266
8198,0,307.545625,25.93990316
8199,0,303.005,27.37217032
8200,0,297.405,29.00453442
8201,0,291.539375,31.01854721
8202,0,288.15,33.82785955
8203,0,286.55,36.15360971
8204,0,284.85,38.93772487
8205,0,284.65,39.57333147
8206,0,284.45,40.21285884
8207,0,284.25,40.68341896
8208,0,282.05,45.1000417
8209,0,279.75,50.36615476
8210,0,277.55,56.34526037
8211,0,277.15,57.58840368
8212,0,276.85,58.67464592
8213,0,276.45,59.96918238
8214,0,275.95,61.76572421
8215,0,275.35,63.79545701
8216,0,276.539375,64.59448756
8217,0,286.3375,48.12185402
8218,0,296.169375,36.75319071
8219,0,304.543125,29.33913317
8220,0,308.028125,27.2042008
8221,0,309.195,25.76761527
8222,0,307.18125,25.37308965
8223,0,301.94375,27.18877243
8224,0,297.07125,28.83837968
8225,0,290.806875,31.22435467
8226,0,286.65,35.23283835
8227,0,284.05,39.13537975
8228,0,281.45,43.86827604
8229,0,280.55,45.90296554
8230,0,279.65,48.03973735
8231,0,278.75,50.0393032
8232,0,278.55,50.3299579
8233,0,278.35,50.39208567
8234,0,278.15,50.45429013
8235,0,277.55,52.07050559
8236,0,277.05,53.5787997
8237,0,276.45,55.29510338
8238,0,276.25,56.17066982
8239,0,276.15,56.64090441
8240,0,277.87125,56.43153117
8241,0,286.94125,42.60022079
8242,0,296.70625,33.18500964
8243,0,305.37875,26.68765882
8244,0,308.365625,25.26762279
8245,0,309.133125,24.46963951
8246,0,307.714375,24.22229346
8247,0,303.539375,25.36147973
8248,0,297.940625,26.88612911
8249,0,292.47375,28.6507806
8250,0,288.35,32.0299206
8251,0,285.75,35.42726652
8252,0,283.15,39.53746467
8253,0,281.65,42.32945781
8254,0,280.25,45.17668726
8255,0,278.75,48.36690197
8256,0,278.95,48.52796179
8257,0,279.05,48.83467933
8258,0,279.25,48.77447167
8259,0,279.05,49.31354808
8260,0,278.95,49.49229311
8261,0,278.75,49.58521029
8262,0,278.95,49.53202654
8263,0,279.05,49.40861732
8264,0,280.84,48.12823536
8265,0,289.673125,39.27371767
8266,0,298.6725,32.08263998
8267,0,306.313125,26.86235093
8268,0,309.799375,25.12294844
8269,0,310.8675,24.0735017
8270,0,309.7825,23.57905912
8271,0,305.4075,24.83139467
8272,0,299.7075,26.62379571
8273,0,294.07375,28.39674432
8274,0,289.75,32.07104497
8275,0,287.05,35.5613541
8276,0,284.25,39.91122625
8277,0,283.55,41.7041983
8278,0,282.75,43.51581768
8279,0,282.05,45.47072241
8280,0,281.35,46.62507624
8281,0,280.55,47.94353589
8282,0,279.85,49.16066641
8283,0,279.65,49.90704698
8284,0,279.45,50.43435117
8285,0,279.25,51.20006943
8286,0,279.05,51.99410058
8287,0,278.95,52.65198941
8288,0,280.14125,52.4823597
8289,0,289.741875,39.87123916
8290,0,299.84,30.76785597
8291,0,308.579375,24.67849213
8292,0,311.7,23.15884639
8293,0,312.86625,22.16978942
8294,0,311.71375,21.72261897
8295,0,307.371875,22.96211531
8296,0,301.639375,24.45967916
8297,0,295.939375,26.21262431
8298,0,291.45,29.67294922
8299,0,288.75,33.06850426
8300,0,285.95,37.47738187
8301,0,285.05,39.22194482
8302,0,284.05,41.17666961
8303,0,283.15,43.09343349
8304,0,283.15,42.50135272
8305,0,283.15,41.7200823
8306,0,283.15,40.95974688
8307,0,284.45,38.86389317
8308,0,285.75,36.87528139
8309,0,287.05,34.82930717
8310,0,286.85,35.20860421
8311,0,286.65,35.43585685
8312,0,287.9075,35.13752974
8313,0,295.241875,30.82728253
8314,0,303.106875,26.84831176
8315,0,309.51375,23.88530633
8316,0,312.86625,22.24963496
8317,0,313.96625,21.19972376
8318,0,312.81375,20.76212044
8319,0,308.1075,22.0419121
8320,0,302.341875,23.49863351
8321,0,296.675,25.07588432
8322,0,292.55,28.13062398
8323,0,289.85,31.18708905
8324,0,287.05,34.83713014
8325,0,285.35,37.48976836
8326,0,283.75,40.04156904
8327,0,282.05,43.28735204
8328,0,281.35,45.01906537
8329,0,280.55,46.95960528
8330,0,279.85,48.83822734
8331,0,279.25,50.61668808
8332,0,278.75,51.82937305
8333,0,278.15,53.71675738
8334,0,277.95,53.36347392
8335,0,277.75,53.00400612
8336,0,278.179375,52.32160191
8337,0,288.07375,41.6926461
8338,0,297.30625,33.69128782
8339,0,305.411875,27.96685176
8340,0,309.133125,25.49186571
8341,0,310.8675,23.66057322
8342,0,310.415,22.59847148
8343,0,305.741875,23.87052702
8344,0,299.5125,25.44318811
8345,0,294.40875,26.99257018
8346,0,290.75,29.91683805
8347,0,288.35,33.04395348
8348,0,285.95,36.49207928
8349,0,284.05,39.89256157
8350,0,282.25,43.68596974
8351,0,280.35,48.19415711
8352,0,279.45,49.96383519
8353,0,278.45,52.19860602
8354,0,277.55,53.86922608
8355,0,277.35,54.70465158
8356,0,277.25,54.89412634
8357,0,277.05,55.49193266
8358,0,277.05,55.29279305
8359,0,277.05,55.33718324
8360,0,278.64,54.01303414
