Arizona,,,,,New York,,,,,Colorado,,,,,California,,,,,New York - Laguardia,,,
T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb,,T,UV,RH-mod,RH-amb
285.3722222,0,31.15038525,21.08737899,,272.76,0,80.90875456,85,,258.15,0,72.37458308,83,,277.06,0,56.65459967,100,,277.06,0,71.54639441,82
285.5017078,0,31.05127768,20.18538483,,271.1687451,0.022539419,84.48535071,85,,259.2949294,0.333790727,69.88441291,83,,276.5793185,0.234760156,57.35281161,100,,277.2329199,0.383598521,71.1805409,79
287.6081468,1.757400256,29.48967447,20.93790278,,270.7390471,1.01427385,85.34707807,86,,261.723362,3.490281696,64.67015179,83,,277.9826186,1.622111057,55.16508547,100,,279.2317504,5.453440834,67.05014043,82
294.5815225,12.52337591,24.98961934,18.62660149,,272.6053437,6.237792328,80.43107877,84,,265.1365462,5.250825728,58.4094617,84,,280.5697902,4.236796316,51.39919887,100,,285.4876251,16.93904367,56.31603501,76
303.544263,27.64485112,20.42625609,15.85832493,,273.975175,10.79619244,76.96092209,80,,268.1038596,3.435197493,53.87860629,64,,281.8038464,7.499284064,49.56686093,93,,290.5272741,27.43505358,49.14207899,76
307.9871037,32.291714,18.56428895,13.99060068,,273.557623,10.25067758,77.89301725,77,,273.5099828,11.18186652,45.88637972,59,,286.5549381,9.836795598,43.89863125,86,,293.008526,34.07013492,45.94865501,67
310.1710811,23.10037419,17.73037171,11.7862689,,275.3907352,10.90415064,74.11103571,71,,276.5641329,16.55155047,41.96793692,59,,285.0676527,8.308882089,45.63269647,86,,295.0526749,36.3277214,43.70808666,59
310.7285453,14.63845825,17.52591601,11.90194352,,275.9832086,12.43117101,72.78797561,71,,272.0637476,9.013857326,47.87560682,54,,282.6630093,5.980381596,48.61660442,77,,295.1536084,34.07155774,43.7430862,57
312.2113011,14.9217836,16.99574499,12.01795009,,275.0106299,7.347114957,75.28504288,66,,277.3350455,16.14877833,41.15975475,54,,282.3373123,5.293300428,49.06719134,83,,294.9049003,27.43670179,44.39444478,55
303.3912283,10.22828226,20.4981254,11.60043407,,272.8352645,1.555219903,80.54453558,66,,272.72786,13.33741057,46.69753515,77,,281.3377209,3.668447951,50.44709498,80,,291.0635876,16.88464216,49.25782643,48
297.9877043,10.10910129,23.11785666,11.08765214,,271.4239349,0.631103729,83.81813894,71,,267.8957135,4.020599655,54.140719,92,,279.9854615,1.609334088,52.38278764,89,,284.0826437,5.397579231,59.31527127,46
291.3698351,5.357287299,26.94976242,10.97654504,,271.1694262,0.022539419,84.48791331,71,,266.0789884,1.911921301,57.18920495,92,,279.4222843,0.388043387,53.24677837,80,,281.119662,0.367721902,64.39464609,58
287.6830329,0,29.44370708,11.67093118,,271.16,0,84.51318976,71,,265.2120875,0.132663137,58.79837677,92,,279.26,0,53.50199868,80,,280.36,0,65.69302052,48
285.9277778,0,30.73566855,13.61454859,,271.16,0,84.5135426,71,,264.15,0,60.63341542,84,,279.26,0,53.50184043,74,,279.86,0,66.54119784,57
284.8166667,0,31.5914025,14.64625174,,271.16,0,84.51388573,78,,262.15,0,64.26132205,84,,279.26,0,53.50168218,58,,279.26,0,67.57748292,65
285.3722222,0,31.16021874,11.74739571,,270.16,0,86.86774527,92,,262.15,0,64.26139496,91,,279.26,0,53.50151924,60,,279.26,0,67.57789085,65
283.15,0,32.93329172,14.25817225,,270.16,0,86.86808599,77,,262.15,0,64.26146571,91,,280.36,0,52.01005072,93,,279.26,0,67.57829338,59
282.0388889,0,33.86851591,17.63026546,,270.16,0,86.86842672,77,,261.15,0,66.17814824,83,,279.86,0,52.68108093,96,,278.76,0,68.457714,58
281.4833333,0,34.34902764,20.04211892,,270.16,0,86.86876747,77,,261.15,0,66.17821634,83,,279.26,0,53.50102832,100,,277.56,0,70.62812364,55
282.0388889,0,33.869061,19.30294547,,270.16,0,86.86910824,84,,260.15,0,68.16746332,83,,280.36,0,52.009576,96,,275.96,0,73.660357,65
279.8166667,0,35.84353947,25.68488955,,270.16,0,86.86944904,84,,259.95,0,68.57435901,79,,279.26,0,53.50070604,100,,275.36,0,74.84035694,68
279.8166667,0,35.84379101,25.68488955,,270.16,0,86.86978985,84,,259.55,0,69.39729152,77,,279.26,0,53.50054523,100,,275.36,0,74.84071469,65
278.15,0,37.4221105,30.12986109,,270.16,0,86.87013067,84,,259.15,0,70.23268482,76,,279.86,0,52.68028335,96,,275.36,0,74.84106757,65
278.7055556,0,36.88664595,27.73168396,,270.16,0,86.87048134,92,,259.15,0,70.23274984,76,,279.86,0,52.68012191,96,,274.86,0,75.84290547,70
277.5944444,0,37.96829307,28.65637947,,271.16,0,84.51723362,85,,259.15,0,70.23281635,76,,279.86,0,52.67996249,96,,274.86,0,75.84325996,67
278.2133663,0,37.36128971,31.32084877,,271.2857375,0.30065529,84.18589748,85,,259.8118851,1.302264256,68.69729018,76,,279.3668281,0.228260816,53.33385706,93,,275.1245017,0.565163659,75.24389264,67
283.7166911,3.80924022,32.4717125,25.36167558,,272.7960971,4.410911335,80.26321972,92,,261.9108004,12.77952324,63.27915992,83,,279.9088735,1.335425815,52.50541864,100,,277.8530123,6.473775343,69.38802187,65
293.4010253,18.47311256,25.69553363,24.72517144,,274.5424483,6.140439894,76.38031758,85,,273.6572426,26.5756067,44.59628789,69,,281.3181769,3.234759888,50.50270491,96,,282.801216,18.47284839,60.06017309,65
303.1530559,31.35363372,20.60945289,19.59675722,,273.271924,2.997742711,79.42267524,92,,270.8143864,19.95518148,48.65340731,70,,281.8360494,4.724998885,49.73144685,96,,287.8168393,29.43465098,52.27454592,62
307.8332992,21.04211682,18.63198302,18.48387524,,273.3143583,2.975203292,79.33532162,92,,269.8359403,11.70205225,50.65380488,53,,283.1276464,6.139633188,48.03856962,93,,289.0252213,35.17024833,50.37366562,57
312.3911402,10.45579548,16.937981,13.86497562,,273.4220238,3.132979225,79.08622291,92,,274.69759,19.64959041,43.86443039,49,,283.6633473,6.711070497,47.35909615,93,,290.0760238,35.09114877,49.14314844,52
312.1509173,12.45114034,17.02277471,13.37508216,,273.271924,2.997742711,79.42382448,92,,280.2609437,24.8092947,37.67838972,41,,282.8239671,6.116808287,48.40688693,100,,290.5022375,32.12915636,48.85697221,48
309.0982768,12.19759305,18.1422257,12.33407058,,273.0782396,2.366638983,79.92103856,92,,281.0770493,26.41995493,36.81964015,43,,282.6391153,5.449670156,48.68081976,93,,287.3120047,24.51391691,53.29303959,45
308.6361195,9.573462714,18.32042333,12.01795009,,272.6834206,1.465062227,80.89596058,92,,280.0445533,25.83537366,37.82687717,48,,282.7833212,4.734742763,48.55691755,96,,283.9074134,14.61889865,58.77029434,46
