,UV,NOCT,RH_MOD
5226,0,300.775625,29.97615907
5227,0,294.20625,34.19592705
5228,0,289.25,41.76474809
5229,0,288.15,43.02738555
5230,0,286.95,46.67136844
5231,0,286.95,45.8281522
5232,0,286.95,45.41227433
5233,0,286.45,46.72770357
5234,0,285.85,48.2245443
5235,0,285.45,49.24898248
5236,0,284.75,51.21097122
5237,0,284.75,51.99944337
5238,0,287.3075,48.03171896
5239,0,295.113125,38.42348441
5240,0,302.679375,33.58056713
5241,0,312.899375,27.5932084
5242,0,317.841875,24.43132603
5243,0,321.4925,23.04285035
5244,0,322.913125,22.98390823
5245,0,323.910625,22.4866326
5246,0,325.57375,21.31080764
5247,0,315.334375,23.9142462
5248,0,316.000625,23.43763939
5249,0,308.7725,25.76465434
5250,0,301.90875,28.34753402
5251,0,294.441875,33.40867635
5252,0,291.95,35.72373576
5253,0,289.25,41.26370941
5254,0,288.65,42.65392511
5255,0,287.55,45.71018468
5256,0,287.55,46.55123037
5257,0,286.95,48.0424181
5258,0,286.95,48.70387314
5259,0,286.55,48.39665512
5260,0,285.85,48.82264559
5261,0,285.85,50.3246887
5262,0,286.91,49.78853643
5263,0,296.6175,37.75984272
5264,0,303.6575,30.8021251
5265,0,311.584375,27.053116
5266,0,319.4125,23.84586868
5267,0,323.92125,22.14540706
5268,0,324.64625,22.00735829
5269,0,325.24625,21.4216918
5270,0,322.30125,21.75353399
5271,0,317.35875,23.86770487
5272,0,312.953125,24.95424538
5273,0,307.715625,26.57992816
5274,0,301.451875,28.99003959
5275,0,295.37625,33.1334181
5276,0,292.55,35.90042173
5277,0,291.45,37.43486247
5278,0,290.85,38.45832713
5279,0,289.25,42.40778102
5280,0,288.15,45.44640376
5281,0,287.55,47.11647201
5282,0,287.55,47.7651785
5283,0,286.95,48.54778467
5284,0,286.95,48.54778467
5285,0,286.45,49.95403829
5286,0,288.576875,47.84611002
5287,0,297.018125,37.69166586
5288,0,305.44625,31.46659541
5289,0,313.973125,26.01467188
5290,0,319.3725,24.63335508
5291,0,325.415,21.53109103
5292,0,328.535625,20.32364118
5293,0,329.135625,19.75105644
5294,0,326.853125,20.0142166
5295,0,320.8875,21.82769144
5296,0,315.646875,23.84157228
5297,0,309.34625,26.20198351
5298,0,302.05125,28.87963922
5299,0,295.81,32.8593858
5300,0,293.65,35.4311791
5301,0,293.15,36.34998911
5302,0,291.95,39.60859241
5303,0,291.95,40.1539293
5304,0,292.55,39.98633848
5305,0,293.15,38.68306721
5306,0,293.15,38.68306721
5307,0,293.15,39.21566134
5308,0,293.15,39.21566134
5309,0,293.15,39.21566134
5310,0,294.01125,38.93830552
5311,0,295.73375,35.47012486
5312,0,299.84125,34.02806363
5313,0,303.978125,33.47676476
5314,0,309.17875,31.81397511
5315,0,303.15375,32.51314329
5316,0,305.148125,30.99130535
5317,0,303.525,31.07593471
5318,0,319.405625,24.96415333
5319,0,316.231875,24.48223927
5320,0,308.650625,25.48282293
5321,0,309.40875,25.82269976
5322,0,303.18125,27.25031374
5323,0,295.87625,32.29591259
5324,0,292.55,36.66909944
5325,0,291.95,37.73213962
5326,0,291.95,37.73213962
5327,0,290.35,39.99886888
5328,0,288.65,43.83654163
5329,0,288.65,43.24119059
5330,0,288.55,43.37007289
5331,0,288.65,43.24119059
5332,0,288.65,42.07463537
5333,0,288.65,41.69281963
5334,0,289.90875,41.60959268
5335,0,292.49625,40.06050358
5336,0,295.385,37.21784863
5337,0,296.71,37.28827358
5338,0,315.95375,25.7505682
5339,0,319.929375,24.57575376
5340,0,313.204375,26.23573076
5341,0,308.97125,26.39027631
5342,0,312.515625,25.81239681
5343,0,309.239375,26.54099185
5344,0,308.805625,27.00047878
5345,0,299.05625,31.9524836
5346,0,296.63125,35.0213078
5347,0,293.07625,39.89116348
5348,0,291.45,41.51646422
5349,0,291.45,41.51646422
5350,0,291.45,41.51646422
5351,0,291.45,41.70613133
5352,0,291.45,41.51646422
5353,0,291.45,41.51646422
5354,0,291.45,42.08806897
5355,0,291.45,42.08806897
5356,0,290.85,43.43628708
5357,0,290.85,43.43628708
5358,0,292.274375,42.8843631
5359,0,295.55375,40.92314589
5360,0,300.36375,38.14787357
5361,0,305.240625,34.98532189
5362,0,309.520625,31.95455872
5363,0,307.735,31.72962254
5364,0,320.73375,25.57550489
5365,0,314.9075,26.44427577
5366,0,303.2475,30.16056175
5367,0,309.305625,29.36794048
5368,0,307.51375,30.4275786
5369,0,299.56375,33.42674297
5370,0,299.328125,34.37072726
5371,0,295.445625,37.30936203
5372,0,294.25,38.66087783
5373,0,294.25,38.66087783
5374,0,293.65,38.82291338
5375,0,294.25,38.66087783
5376,0,294.25,39.19316645
5377,0,294.25,39.19316645
5378,0,293.65,40.56827598
5379,0,294.25,39.66906386
5380,0,293.65,41.06087046
5381,0,294.25,38.53697562
5382,0,294.6475,39.3834237
5383,0,297.075625,34.46250615
5384,0,299.500625,32.40999062
5385,0,312.864375,26.81881606
5386,0,315.991875,24.61943042
5387,0,317.92,23.45115198
5388,0,314.74375,23.14339516
5389,0,317.40375,21.43764148
5390,0,310.533125,24.43583046
